4,1518,9.5
4,1520,8.4
4,1521,7.4
4,1522,6.9
4,1523,5.8
4,1524,6.3
4,1530,5.5
4,1531,5.4
4,1532,5.3
4,1534,5.1
4,1535,5.0
4,1540,8.4
4,1542,8.2
4,1543,8.1
4,1544,6.7
4,1546,6.4
4,1547,5.4
4,1571,5.9
4,1572,6.6
4,1573,6.7
4,1574,6.7
4,1575,6.7
4,1577,8.3
4,1578,8.6
4,1579,8.7
4,1580,8.8
4,1581,9.3
4,1582,9.1
4,1584,8.9
4,1585,8.8
4,1586,8.1
4,1587,7.4
4,1588,7.5
4,1589,7.3
4,1519,9.2
4,1536,6.1
4,1537,6.7
4,1538,7.6
4,1539,8.2
4,1541,8.7
4,1548,5.1
4,1570,5.8
4,1583,9.1
5,1310,4.1
5,1312,4.2
5,1314,4.6
5,1318,4.1
5,1320,4.9
5,1322,4.4
5,1324,4.6
5,1326,5.1
5,1328,5.8
5,1332,5.0
5,1334,4.7
5,1336,5.5
5,1460,5.1
5,1461,4.8
5,1462,4.7
5,1465,7.7
5,1466,7.9
5,1468,8.4
5,1469,8.7
5,1471,8.5
5,1473,7.8
5,1474,7.6
5,1475,7.4
5,1476,7.2
5,1477,6.7
5,1479,6.3
5,1480,6.1
5,1481,6.1
5,1500,4.9
5,1501,4.6
5,1502,6.2
5,1504,5.7
5,1507,6.0
5,1508,5.5
5,1316,4.4
5,1330,5.1
5,1464,7.6
5,1467,7.9
5,1470,8.6
5,1472,8.2
5,1478,6.5
5,1505,5.8
5,1506,6.0
